Y, X
478.38756403554623, 329.9546765554182
456.0906952430737, 331.9544018678753
492.3615107161527, 333.95412718033236
484.48410872974387, 335.95385249278945
458.94525875588084, 337.95357780524654
491.25797177208574, 339.95330311770357
492.06953737584945, 341.95302843016066
473.86739675901725, 343.95275374261774
487.7867067433351, 345.95247905507483
500.51698902247784, 347.9522043675319
487.6523065865133, 349.951929679989
461.69671589127034, 351.9516549924461
492.04310245687407, 353.9513803049031
456.0906952430737, 355.9511056173602
456.0906952430737, 357.9508309298173
466.4686434918976, 359.9505562422744
456.0906952430737, 361.9502815547315
458.724520386827, 363.95000686718856
460.34119576581287, 365.94973217964565
456.0906952430737, 367.94945749210274
456.0906952430737, 369.94918280455977
471.0580070569786, 371.94890811701686
470.90962493465764, 373.94863342947394
